time_created,id,text
2020-10-25 22:41:10,1320495644927295492,"RT @eWhispers: #earnings for the week 

https://t.co/lObOE0dgsr 

$AAPL $AMZN $MSFT $AMD $UPS $FB $SHOP $BA $HAS $PFE $SMPL $MMM $TWLO $GE…"
2020-10-25 22:40:26,1320495461829091328,Crazy week for er guys I will be watching for $FSLY $AAPL $AMZN $TWLO $V $SHOP $SPOT $FB $AMD https://t.co/gqwll7zZ2r
2020-10-25 22:40:24,1320495453780221952,"$ENZC x BioClonetics Mega Merger

Relentless DD

$ENZC an absolute monster

Stars aligning for Epic Run

#mAbs4All… https://t.co/rH8cBFSTp6"
2020-10-25 22:40:16,1320495422268428291,Join us live at 8.30 pm est.  $BA $MSFT $AAPL $TSLA $Spy $SLV $NG_F #StocksToTrade #stockstowatch https://t.co/ZOpCw2EP3a
2020-10-25 22:39:57,1320495339074424833,"RT @eWhispers: #earnings for the week 

https://t.co/lObOE0dgsr 

$AAPL $AMZN $MSFT $AMD $UPS $FB $SHOP $BA $HAS $PFE $SMPL $MMM $TWLO $GE…"
2020-10-25 22:37:38,1320494756816969728,"RT @StockDweebs: Top stock picks this week:

$AAPL - 4.4%
$ATVI - 4.3%
$BA - 5.4%
$NKE - 2.3%
$ABT - 3.0%

Top watch-list this week:

$CAT…"
2020-10-25 22:37:31,1320494729876828161,"Time to Buy $SILVER?

$spy $spx $qqq $eem $googl $intc $dxy $xlf $vix $xom $googl $tsla $jnj $fb $aapl $gld $pfe… https://t.co/8GzyXQWQ38"
2020-10-25 22:37:16,1320494663896281088,Verizon's 4.4% Dividend Yield Remains One of the Best in Tech @themotleyfool #stocks $VZ $TMUS $AAPL https://t.co/gnU4EGCjYD
2020-10-25 22:37:13,1320494652148064257,"RT @NorthmanTrader: 14%-21% of $AAPL’s annual profits come from $GOOGL for building $GOOGL’s search engine into its products.

Still think…"
2020-10-25 22:37:11,1320494643960795138,"The Futures. Let’s look at the 30 min. Opens as an Inside bar. 

On @tickertockerapp @RobInTheBlack will just say “… https://t.co/ihf5iK6xWI"
2020-10-25 22:37:05,1320494620237651968,"RT @Investingcom: 💥IT'S #WEEKLYCOMIC TIME!💥

⚠️Traders Brace For Flood Of Market-Moving Events In The Week Ahead

⚠️$GOOGL Earnings (Mon.)…"
2020-10-25 22:36:59,1320494596208627712,@Investingcom Waaaahhhh $aapl gonna bounce of the 50ma waaahhhhhhhh $tlt gonna pop and drop  waaaahhhhhhh watching… https://t.co/frMD7IsUmO
2020-10-25 22:36:17,1320494418114179072,"RT @SJosephBurns: Big earnings week:

https://t.co/eDYHYwrKxe 

$AAPL $AMZN $MSFT $AMD $UPS $FB $SHOP $BA $HAS $PFE $SMPL $MMM $TWLO $GE $F…"
2020-10-25 22:36:07,1320494376322125824,"Coronavirus Cases Soar; Futures Fall

It's a pivotal week for the market rally. Many leading stocks are close to tr… https://t.co/iqvADbrMCs"
2020-10-25 22:36:00,1320494344965505025,Monstrous week coming up. $TWLO $ETSY $FSLY $SHOP $LVGO in my portfolio. Thursday after the close might set the ton… https://t.co/YXWMonQSjh
2020-10-25 22:35:13,1320494147523006464,"RT @BrianFeroldi: If you bought $AAPL 5 years after the iPhone launch, you made a ton of money

If you bought $AMZN 5 years after the AWS l…"
2020-10-25 22:35:00,1320494094062358528,$avgr $wkhs $vxrt $plug $gme $novn $ibio $tsla $snap $nkla $sunw $spaq $ino $idex $opti $fb $mark $xspa $srne $wwr… https://t.co/FTqCJS4eTA
2020-10-25 22:33:01,1320493594055200769,"RT @SJosephBurns: Big earnings week:

https://t.co/eDYHYwrKxe 

$AAPL $AMZN $MSFT $AMD $UPS $FB $SHOP $BA $HAS $PFE $SMPL $MMM $TWLO $GE $F…"
2020-10-25 22:32:04,1320493354975711234,"RT @Investingcom: ⚠️MARKETS WEEK AHEAD:

- $AAPL $AMZN $MSFT $GOOGL $FB EARNINGS
- $PFE $MRNA $GILD $BA $CAT $SBUX $V ALSO REPORT
- STIMULU…"
2020-10-25 22:31:24,1320493187589287936,Stay tuned for quarterly earnings and we will see who’s the big winners and who’s the losers. I’m guessing a big wi… https://t.co/bie0L4miUt
2020-10-25 22:31:10,1320493129628352520,"Futures Down 200 over #Coronavirus Case Count At Daily Record Highs

White House chief says ‘we're not going to con… https://t.co/LiqNrNPYBv"
2020-10-25 22:30:48,1320493037840146435,"Apple Inc. (AAPL) surprised the market with Q2 result. Bain capital changed the rating to Outperform, as Apple Inc.… https://t.co/rHiWcwpiby"
2020-10-25 22:30:15,1320492901659480065,"RT @eWhispers: #earnings for the week 

https://t.co/lObOE0dgsr 

$AAPL $AMZN $MSFT $AMD $UPS $FB $SHOP $BA $HAS $PFE $SMPL $MMM $TWLO $GE…"
2020-10-25 22:29:45,1320492773234085888,RT @BW: This is how Apple is pushing back against patent trolls https://t.co/QxkvJyU7we
2020-10-25 22:28:33,1320492470904459265,RT @BW: This is how Apple is pushing back against patent trolls https://t.co/QxkvJyU7we
2020-10-25 22:28:02,1320492340348395523,RT @BW: This is how Apple is pushing back against patent trolls https://t.co/QxkvJyU7we
2020-10-25 22:27:44,1320492265161175044,RT @BW: This is how Apple is pushing back against patent trolls https://t.co/QxkvJyU7we
2020-10-25 22:27:25,1320492184785854465,This is how Apple is pushing back against patent trolls https://t.co/QxkvJyU7we
2020-10-25 22:25:33,1320491717758492672,"$SPAQ Here we go 📉🤑💰

$VIX $SPY $FED $QQQ $DJIA $IWM $TAN $FSLR $OXY $XOM $RUN $JKS $MSFT $BP $AMZN $CGC $RTX $SWBI… https://t.co/Waw4B5Ql5T"
2020-10-25 22:25:06,1320491603853774848,"RT @BauerFavatam: @kylewdennis Took a 6% win today on the AAPL puts. In at 3.52 out at 3.74. In baseball terms, the pitcher has thrown a fe…"
2020-10-25 22:24:46,1320491520135434241,"RT @Investingcom: ⚠️MARKETS WEEK AHEAD:

- $AAPL $AMZN $MSFT $GOOGL $FB EARNINGS
- $PFE $MRNA $GILD $BA $CAT $SBUX $V ALSO REPORT
- STIMULU…"
2020-10-25 22:24:33,1320491465424785409,"RT @eWhispers: #earnings for the week 

https://t.co/lObOE0dgsr 

$AAPL $AMZN $MSFT $AMD $UPS $FB $SHOP $BA $HAS $PFE $SMPL $MMM $TWLO $GE…"
2020-10-25 22:24:16,1320491393450676225,"RT @Investingcom: 💥IT'S #WEEKLYCOMIC TIME!💥

⚠️Traders Brace For Flood Of Market-Moving Events In The Week Ahead

⚠️$GOOGL Earnings (Mon.)…"
2020-10-25 22:24:15,1320491389696684032,"RT @EliteOptions2: $AAPL - Earnings Trade Idea - Oct 30 121C - bid/ask: 1.32/1.34

Closed at 115.04 on Friday

If AAPL can hold above 114 i…"
2020-10-25 22:23:16,1320491140924215301,"sector tecnológico también publican sus informes; Microsoft $MSFT presenta resultados el martes y Apple $AAPL, Face… https://t.co/YSKKeCkRQW"
2020-10-25 22:22:25,1320490927115309056,"RT @like_conglomera: $AAPL $APPS $AYX $BLFS $CMPS $DDOG $DKNG $FB $FLGT $FSLY 他
Anthony Ohayonさんによるチャート分析。 https://t.co/B5DH9lPMkb"
2020-10-25 22:22:11,1320490868147658754,"Balances $Cedears para esta semana:

Jueves: Nokia $NOKA - Moderna $MRNA - Apple $AAPL - Facebook $FB - Twitter… https://t.co/cKiQSrV5np"
2020-10-25 22:21:55,1320490803316191232,"RT @DontFeedBear: It’s a sign, Buy $AAPL Monday 😂😂 https://t.co/P4sYzzui3n"
2020-10-25 22:21:11,1320490616006955010,"RT @BrianFeroldi: If you bought $AAPL 5 years after the iPhone launch, you made a ton of money

If you bought $AMZN 5 years after the AWS l…"
2020-10-25 22:21:05,1320490593936695300,RT @musicnews360: $AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #music…
2020-10-25 22:21:01,1320490574546411520,RT @AWMCheung: My notes for the week ahead in markets... main focus on tightened restrictions in mainland Europe (IT/SP) as COVID cases con…
2020-10-25 22:20:38,1320490478215811074,"RT @NorthmanTrader: 14%-21% of $AAPL’s annual profits come from $GOOGL for building $GOOGL’s search engine into its products.

Still think…"
2020-10-25 22:20:17,1320490390856847361,"RT @Soleyam_asset: Les publications les plus attendues, prévues pour la semaine sont Apple #AAPL, Amazon #AMZN, Microsoft #MSFT, AMD #AMD,…"
2020-10-25 22:20:00,1320490319310426117,$penn $mara $sunw $srne $fsly $wwr $gme $rkt $aal $wkhs $boxl $dkng $xspa $aapl $tsla $opti $snap $vxrt $novn $mark… https://t.co/dhmclV3sM0
2020-10-25 22:19:57,1320490307490906115,RT @FitradersRick: https://t.co/RawgU8a3pw Market set to run? https://t.co/qr3e8SKYQv $es $spx $nq $nas $dkng $cgc $cura $trul $amzn $aapl…
2020-10-25 22:19:52,1320490286343213057,RT @FitradersRick: https://t.co/RawgU8a3pw WEEKEND ROUND UP ALL THE TOP PLAYS ON WATCH https://t.co/FfEiGiuASt $es $nas $nq $aapl $amd plus…
2020-10-25 22:19:50,1320490276532690946,"$AAPL, dejad que el mercado venga a mí! https://t.co/LDJBXtd6DM https://t.co/Hnk91076Jd"
2020-10-25 22:19:38,1320490226221940736,#musicnews360 #indianapolis #oakland #aswan #barka #afyon #kanchipuram #uşak #banjul #londrina #chernihiv #haldwani… https://t.co/9AmxY96xwX
2020-10-25 22:18:14,1320489873833381888,$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment… https://t.co/jMI9l3jXud
2020-10-25 22:18:05,1320489838672519171,"RT @StrawHatStocks: Here is my outlook on my personal favorite picks from Eric's/@StockDweebs watchlist this week 10/26-10/30:

$AAPL (have…"
2020-10-25 22:17:39,1320489729238859777,"Top plays for the week:

$Pton looks like it's finding support between 115 &amp; 120 and could breakout.

$Fsly earning… https://t.co/dN5PIkGWah"
2020-10-25 22:17:05,1320489586867523593,"RT @EliteOptions2: $NCLH - Swing Trade Idea - Jan 15 2021 22.5C - bid/ask: 1.57/1.93

Closed at 18.35 on Friday.

If NCLH can close above 1…"
2020-10-25 22:16:18,1320489388791521284,"RT @EliteOptions2: $AAPL - Earnings Trade Idea - Oct 30 121C - bid/ask: 1.32/1.34

Closed at 115.04 on Friday

If AAPL can hold above 114 i…"
2020-10-25 22:16:07,1320489342222147585,@MoneyMnuchins Stimulus bullish $AAPL mention still bullish
2020-10-25 22:15:59,1320489307539472389,"RT @EliteOptions2: $NCLH - Swing Trade Idea - Jan 15 2021 22.5C - bid/ask: 1.57/1.93

Closed at 18.35 on Friday.

If NCLH can close above 1…"
2020-10-25 22:15:58,1320489306566348800,"RT @Investingcom: 💥IT'S #WEEKLYCOMIC TIME!💥

⚠️Traders Brace For Flood Of Market-Moving Events In The Week Ahead

⚠️$GOOGL Earnings (Mon.)…"
2020-10-25 22:15:58,1320489304418930696,@jdubu37 @Investingcom I’m thinking that as well. Most of my positions I sold prepping for it only ones I kept were aapl FB tsla clsk plug
2020-10-25 22:15:23,1320489159346278401,"RT @EliteOptions2: $SNOW - Trade Idea - Oct 30 280C - bid/ask: 5.10/5.70

Closed at 265.05 on Friday.

Needs back above 275 to consider cal…"
